sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
bc1001	4511	4315	95.66	4283	3978	88.18
bc1002	6416	6171	96.18	6142	6009	93.66
bc1003	4295	4107	95.62	4087	3887	90.5
bc1004	9918	9632	97.12	9606	9606	96.85
bc1005	4249	4089	96.23	4021	3835	90.26
bc1006	6231	6031	96.79	6027	6027	96.73
bc1007	3378	3276	96.98	3274	3274	96.92
bc1008	24353	23396	96.07	23342	20246	83.14
bc1009	17141	16609	96.9	16573	16521	96.38
bc1011	3907	3782	96.8	3778	3349	85.72
bc1012	16651	16077	96.55	16067	16067	96.49
bc1013	6676	6423	96.21	6394	5563	83.33
bc1014	5602	5426	96.86	5417	5417	96.7
bc1015	6709	6458	96.26	6407	5740	85.56
bc1016	2257	2180	96.59	2155	2155	95.48
bc1017	8679	8316	95.82	8247	7051	81.24
bc1018	7524	7254	96.41	7220	6657	88.48
bc1019	473	447	94.5	409	409	86.47
bc1020	13897	13380	96.28	13344	13241	95.28
bc1021	5244	5070	96.68	4963	4002	76.32
bc1022	5493	5313	96.72	5284	5071	92.32
bc1023	6033	5732	95.01	5677	4617	76.53
bc1024	5540	5367	96.88	5353	5089	91.86
bc1026	3834	3689	96.22	3614	3027	78.95
bc1027	15513	15090	97.27	15083	15083	97.23
bc1028	4274	4107	96.09	4075	3967	92.82
bc1029	2899	2804	96.72	2787	2783	96
bc1030	2034	1943	95.53	1925	1904	93.61
bc1031	10761	10339	96.08	10244	10123	94.07
bc1032	14014	13568	96.82	13528	13483	96.21
bc1033	13358	12804	95.85	12788	12709	95.14
bc1034	5170	5045	97.58	5027	5003	96.77
bc1035	7165	6805	94.98	6752	3929	54.84
bc1036	13505	13071	96.79	13069	12714	94.14
bc1037	4457	4291	96.28	4235	4035	90.53
bc1038	8635	8360	96.82	8353	8353	96.73
bc1039	4290	4152	96.78	4119	4119	96.01
bc1040	7212	6960	96.51	6921	6921	95.97
bc1041	6995	6709	95.91	6680	6076	86.86
bc1042	3748	3601	96.08	3577	3371	89.94
bc1043	7019	6788	96.71	6780	6780	96.59
bc1044	5523	5328	96.47	5197	4939	89.43
bc1045	3146	3024	96.12	3000	2745	87.25
bc1046	4201	4017	95.62	3967	3903	92.91
bc1047	4684	4495	95.96	4402	4384	93.6
bc1048	11882	11510	96.87	11503	11420	96.11
bc1049	21778	21030	96.57	21014	21014	96.49
bc1050	1521	1445	95	1409	1382	90.86
bc1051	6181	5980	96.75	5976	5976	96.68
bc1052	4224	4080	96.59	4068	4051	95.9
bc1053	4225	4073	96.4	4045	4042	95.67
bc1054	2464	2336	94.81	2282	2149	87.22
bc1055	2432	2322	95.48	2275	2239	92.06
bc1056	7627	7268	95.29	7099	6667	87.41
bc1057	7329	7061	96.34	7027	6710	91.55
bc1058	3916	3734	95.35	3683	3521	89.91
bc1059	2892	2774	95.92	2742	2205	76.24
bc1060	4357	4234	97.18	4192	4192	96.21
bc1061	8339	8097	97.1	8076	8054	96.58
bc1062	2135	2051	96.07	2037	1981	92.79
bc1063	5871	5681	96.76	5664	5664	96.47
bc1064	6340	6108	96.34	6088	6088	96.03
bc1065	10025	9711	96.87	9687	9687	96.63
bc1066	876	859	98.06	843	843	96.23
bc1067	3157	2990	94.71	2964	2382	75.45
bc1068'	1778	1693	95.22	1658	1658	93.25
bc1069	2631	2508	95.32	2491	2477	94.15
bc1070	5084	4864	95.67	4786	3647	71.73
bc1071	6151	5946	96.67	5906	5906	96.02
bc1072	1025	938	91.51	891	879	85.76
bc1073	21138	20455	96.77	20388	19733	93.35
bc1074	3803	3681	96.79	3651	3647	95.9
bc1075	2058	1970	95.72	1907	1819	88.39
bc1076	10490	10143	96.69	10136	10136	96.63
bc1077	730	700	95.89	668	621	85.07
bc1078	15551	14967	96.24	14910	11022	70.88
bc1079	5408	5196	96.08	5041	4206	77.77
bc1080	5544	5356	96.61	5277	5139	92.69
bc1081	8964	8708	97.14	8705	8705	97.11
bc1082	4027	3848	95.56	3771	3596	89.3
bc1083	16863	16307	96.7	16296	16291	96.61
bc1084	5133	4943	96.3	4923	4766	92.85
bc1085	9200	8839	96.08	8798	7466	81.15
bc1086	5627	5418	96.29	5394	5226	92.87
bc1088	7869	7493	95.22	7334	6893	87.6
bc1089	7713	7353	95.33	7285	5989	77.65
bc1091	8054	7809	96.96	7791	7791	96.73
bc1092	1648	1574	95.51	1568	1406	85.32
bc1094	5089	4915	96.58	4903	4748	93.3
bc1095	317	286	90.22	218	218	68.77
bc1096	5022	4770	94.98	4734	4718	93.95
